UID,SEG,translation,profanity
METALW-037752-0002,tamaño,size,None
METALW-037752-0003,Dos grandes y 1 extra grande,Two big and 1 extra large,None
METALW-037752-0004,recogida o entrega,pick-up or drop-off,None
METALW-037752-0005,entrega,delivery,None
METALW-037752-0006,cobertura para cada,coverage for each,None
METALW-037752-0007,El primero grande tendrá pepperoni II grande tendrá pepperoni y salchicha el último tendrá será un plato profundo supremo extra grande,The first big one will have big pepperoni II will have pepperoni and sausage the last will have will be an extra large supreme deep dish,None
METALW-037752-0008,esa orden ha sido colocada. Entrega se realizará en 45 minutos,that order has been placed. Delivery will be made in 45 minutes,None
METALW-037752-0009,Muchas gracias,Thanks a lot,None
METALW-037752-0010,Buenos días,Good morning,None
METALW-037753-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037753-0001,¿Qué pizza tienes?,What pizza do you have?,None
METALW-037753-0002,Podemos hacer casi cualquier pizza que quieras.,We can make almost any pizza you want.,None
METALW-037753-0003,puedo tener el pepperonni uno,I can have the pepperonni one,None
METALW-037753-0004,Esa cobertura no está disponible.,That coverage is not available.,None
METALW-037753-0005,¿Qué?,What?,None
METALW-037753-0006,¿Te gustaría elegir otra cobertura?,Would you like to choose other coverage?,None
METALW-037753-0007,¿qué tal la pizza de vieiras,How about the scallop pizza,None
METALW-037753-0008,Bien. ¿Qué tamaño de pizza?,Not bad. What size pizza?,None
METALW-037753-0009,grande,big,None
METALW-037753-0010,Su pedido ha sido realizado.,Your order has been placed.,None
METALW-037754-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037754-0001,Quiero una pizza con 3 ingredientes diferentes,I want a pizza with 3 different ingredients,None
METALW-037754-0002,¿De qué ubicación te gustaría pedir esto?,What location would you like to order this from?,None
METALW-037754-0003,Detroit,Detroit,None
METALW-037754-0004,"Bien, ¿y qué ingredientes te gustaría con esta pizza?","Well, what ingredients would you like with this pizza?",None
METALW-037754-0005,peperoni,pepperoni,None
METALW-037754-0006,"Desafortunadamente, esa cobertura no está disponible, ¿te gustaría algo más en su lugar?","Unfortunately, that coverage isn't available, would you like something else instead?",None
METALW-037754-0007,jamón,ham,None
METALW-037754-0008,"Bien, una pizza con jamón, ¿qué tamaño te gustaría?","Well, a pizza and ham, how big would you like?",None
METALW-037754-0009,Medio,middle,None
METALW-037754-0010,"Bien, he seguido adelante y he hecho un pedido de una pizza mediana con jamón, deberías recibirlo en breve.","Well, I've moved on and placed an order for a medium pizza with ham, you should receive it shortly.",None
METALW-037755-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037755-0001,Quiero una pizza con tres ingredientes,I want a pizza with three ingredients,None
METALW-037755-0002,¿De acuerdo con qué tamaño pizza y qué ingredientes?,According to what pizza size and ingredients?,None
METALW-037755-0003,"Pizza grande con Pepperoni, salchichas y papas fritas","Big pizza with Pepperoni, sausages and fries",None
METALW-037755-0004,Siento que las papas fritas no estén disponibles actualmente,I'm sorry that fries aren't currently available,None
METALW-037755-0005,¿Tienes pimientos?,Do you have peppers?,None
METALW-037755-0006,Sí se pueden usar pimientos,Yes you can use peppers,None
METALW-037755-0007,"Bien, poner los pimientos en","Well, put the peppers in",None
METALW-037755-0008,"Bien, ¿tienes una pizza grande con salchicha pepperoni y pimientos, verdad?","Well, you got a big pizza with pepperoni sausage and peppers, right?",None
METALW-037755-0009,Sí,Yes,None
METALW-037755-0010,Lo pediré en Pizza Hut ahora mismo. ¿Quieres pagar en la tienda?,I'll order it at Pizza Hut right now. Do you want to pay at the store?,None
METALW-037755-0011,Sí. Lo recogeré,Yes. I'll pick it up.,None
METALW-037756-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037756-0001,Hola,Hello,None
METALW-037756-0002,Hola. ¿Cómo puedo ser de serivice?,Hello. How can I be of serivice?,None
METALW-037756-0003,Quiero una pizza con 3 tapas diferentes,I want a pizza with 3 different tapas,None
METALW-037756-0004,Bien. Somos 2 pizzas con 3 ingredientes diferentes.,Not bad. We are 2 pizzas with 3 different ingredients.,None
METALW-037756-0005,Quiero 2 3 quiero decir,I want 2 3 I mean,None
METALW-037756-0006,Bien. Tenemos las mejores pizzas de trinchera de Nueva York y Mariana disponibles.,Not bad. We have the best trench pizzas in New York and Mariana available.,None
METALW-037756-0007,"Tengo 2 NY y 1 Mariana, le envió una dirección para la entrega ¿cuánto es la tarifa de entrega?","I have 2 NY and 1 Mariana, sent you an address for delivery how much is the delivery fee?",None
METALW-037756-0008,La tarifa de entrega es de $20. ¿Hay algún cobertura que desees pedir?,Delivery fee is $20. Is there any coverage you want to ask for?,None
METALW-037756-0009,"Por favor, agregue la 3 pizza de queso xtra mozirilla.",Please add the 3 xtra mozirilla cheese pizza.,None
METALW-037756-0010,arrepentido. El queso mozirilla no está disponible en este momento.,repentant. Mozirilla cheese is not available at this time.,None
METALW-037756-0011,"Oh, parmesano por favor","Oh, Parmesan please",None
METALW-037757-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037757-0001,hola. ¿Puedes sugerir coberturas de pizza?,Hello. Can you suggest pizza toppings?,None
METALW-037757-0002,¿Deepdish o sartén?,Deepdish or frying pan?,None
METALW-037757-0003,Para la sartén.,Stop the pan.,None
METALW-037757-0004,¿Puedo traerte una pizza pepperoni?,Can I get you a pepperoni pizza?,None
METALW-037757-0005,No estoy seguro con eso. ¿Alguna otra opción?,I'm not sure about that. Any other choices?,None
METALW-037757-0006,¿Cuál es tu cobertura favorita?,What's your favorite coverage?,None
METALW-037757-0007,queso.,cheese.,None
METALW-037757-0008,Estamos fuera de eso. ¿Qué tal una pizza de tacos con lechuga extra?,We're out of it. How about a taco pizza with extra lettuce?,None
METALW-037757-0009,Eso suena delicioso.,That sounds delicious.,None
METALW-037757-0010,Voy a lanzar un libre 2 ltr de refresco también. En el amigo de la casa.,I'm going to throw a free 2 ltr of soda too. In the friend of the house.,None
METALW-037757-0011,impresionante. Muchas gracias.,impressive. Thanks a lot.,None
METALW-037757-0012,Nos vemos luego.,See you later.,None
METALW-037757-0013,Bien. Nos vemos.,Not bad. See you.,None
METALW-037757-0014,Adiós,Good bye,None
METALW-037757-0015,Gracias.,Thank you.,None
METALW-037757-0016,bienvenido.,welcome.,None
METALW-037758-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037758-0001,Me necesito unas pizzas,I need some pizzas.,None
METALW-037758-0002,¿Qué sabor?,What flavor?,None
METALW-037758-0003,"Por lo tanto, necesito tres pizzas","So, I need three pizzas",None
METALW-037758-0004,¿Tienes coberturas en mente?,Do you have coverage in mind?,None
METALW-037758-0005,primero sería pepperoni grande y queso,first it would be big pepperoni and cheese,None
METALW-037758-0006,El queso no está disponible actualmente.,Cheese is not currently available.,None
METALW-037758-0007,sin queso en una pizzería?,no cheese in a pizzeria?,None
METALW-037758-0008,actualmente estamos agotados para el queso. ¿Qué tal han para reemplazo? jamón,we are currently exhausted for cheese. How about han for replacement? ham,None
METALW-037758-0009,"Todavía me gustaría queso en una pizza, así que soy bueno para hoy.","I'd still like cheese on a pizza, so I'm good for today.",None
METALW-037758-0010,Espero ayudarte la próxima vez.,I hope to help you next time.,None
METALW-037759-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037759-0001,Quiero una pizza gigantesca con tres ingredientes diferentes,I want a gigantic pizza with three different ingredients,None
METALW-037759-0002,"Gracias. Puedo pedir una pizza extra grande de Domino's, ¿sería aceptable?","Thank you. I can order an extra big pizza from Domino's, would it be acceptable?",None
METALW-037759-0003,Sí,Yes,None
METALW-037759-0004,Gracias. ¿Qué ingredientes te gustaría en esta pizza?,Thank you. What ingredients would you like in this pizza?,None
METALW-037759-0005,"Me gustaría setas, pepperoni, y salchichas","I'd like mushrooms, pepperoni, and sausages",None
METALW-037759-0006,"Desafortunadamente, salchichas actualmente no está disponible en este lugar. ¿Te gustaría sustituir una cobertura diferente o simplemente usar las otras dos?","Unfortunately, sausages are currently not available at this place. Would you like to replace a different coverage or just use the other two?",None
METALW-037759-0007,Sí. ¿Tienes cebollas?,Yes. Do you have onions?,None
METALW-037759-0008,"Sí, las cebollas están disponibles actualmente. Así que esa es una pizza extra grande con pepperoni, champiñones y cebollas. ¿Es esto correcto?","Yes, onions are currently available. So that's an extra big pizza with pepperoni, mushrooms and onions. Is this correct?",None
METALW-037759-0009,Sí. Pone muchas cebollas por favor.,"Yes. Put a lot of onions in, please.",None
METALW-037759-0010,"Gracias. Se ha pedido una pizza extra grande con pepperoni, champiñones y cebollas adicionales, y estará lista en aproximadamente 20 minutos. Por favor, hágamelo saber si se necesita algo más.","Thank you. An extra large pizza with pepperoni, mushrooms and additional onions has been ordered, and will be ready in approximately 20 minutes. Please let me know if anything else is needed.",None
METALW-037760-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037760-0001,Necesito pedir una pizza.,I need to order a pizza.,None
METALW-037760-0002,¿Para cuántas personas?,How many people?,None
METALW-037760-0003,"Una persona, por favor.","One person, please.",None
METALW-037760-0004,¿Qué sabor tiene?,What does it taste like?,None
METALW-037760-0005,queso.,cheese.,None
METALW-037760-0006,Sí.,Yes.,None
METALW-037760-0007,También pepperoni.,Also pepperoni.,None
METALW-037760-0008,¿Algo els>,Anything on him>,None
METALW-037760-0009,Y champiñones.,And mushrooms.,None
METALW-037760-0010,¿Algo lse?,Anything lse?,None
METALW-037760-0011,"No, eso es todo gracias.","No, that's all thanks.",None
METALW-037761-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037761-0001,"Oye, ¿puedes responder algunas preguntas sobre tu pizza por mí?","Hey, can you answer some questions about your pizza for me?",None
METALW-037761-0002,seguro,sure,None
METALW-037761-0003,¿Hacen pimientos fantasmas como una pizza para tapar por casualidad?,Do they make ghost peppers like a pizza to cover by chance?,None
METALW-037761-0004,No,No,None
METALW-037761-0005,¡Ah bummer! ¿Qué tal jalapeños?,Ah bummer! How about jalapeños?,None
METALW-037761-0006,"Lo siento, no","I'm sorry, no.",None
METALW-037761-0007,¿Algo especiado? Me gusta un poco de calor a mi pizza.,Anything spicy? I like my pizza a little hot.,None
METALW-037761-0008,Salchicha picante,Spicy sausage,None
METALW-037761-0009,"Eso no ayudará, soy vegetariano. Supongo que añadiré salsa picante.","That won't help, I'm a vegetarian. I guess I'll add hot sauce.",None
METALW-037761-0010,De acuerdo,I agree,None
METALW-037762-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037762-0001,Quiero pedir una pizza,I want to order a pizza,None
METALW-037762-0002,"Sí, ¿qué ingredientes?","Yes, what ingredients?",None
METALW-037762-0003,"pepperoni, tocino y chirizo","pepperoni, bacon and chirizo",None
METALW-037762-0004,"Lo siento, estamos fuera de esos ingredientes. Ha sido una semana ajetreada.","I'm sorry, we're out of those ingredients. It's been a busy week.",None
METALW-037762-0005,¿Puedo conseguir jamón y piña?,Can I get ham and pineapple?,None
METALW-037762-0006,Nuestro envío desde Hawái no llega hasta el martes.,Our shipment from Hawaii doesn't arrive until Tuesday.,None
METALW-037762-0007,"Bueno, ¿qué puedo conseguir en mi pizza entonces","Well, what can I get on my pizza then",None
METALW-037762-0008,queso.,cheese.,None
METALW-037762-0009,"bien, tomaré una pizza grande con queso extra","well, I'll have a big pizza with extra cheese",None
METALW-037762-0010,Sólo tenemos cheddar.,We only have cheddar.,None
METALW-037763-0000,Pizza Bot,Pizza Bot,None
METALW-037763-0001,pizza ahora por favor,pizza now please,None
METALW-037763-0002,¿De qué tamaño,How large,None
METALW-037763-0003,enorme,enormous,None
METALW-037763-0004,Tenemos un extra grande - ¿Está bien?,We got an extra big one - Okay?,None
METALW-037763-0005,Sí,Yes,None
METALW-037763-0006,¿Qué ingredientes?,What ingredients?,None
METALW-037763-0007,¿tienes pepinillos,Do you have pickles,None
METALW-037763-0008,"No, no tenemos pepinillos","No, we don't have pickles.",None
METALW-037763-0009,Por qué no,Why not,None
METALW-037763-0010,"No hay suficiente gente quiere pepinillos como cobertura, lo siento","Not enough people want pickles as cover, i'm sorry",None
METALW-037764-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037764-0001,Me gustaría pedir una pizza grande por favor,I'd like to order a big pizza please,None
METALW-037764-0002,"Muy bien, ¿qué te gustaría en esa pizza?","All right, what would you like on that pizza?",None
METALW-037764-0003,"Pepperoni, champiñones y aceitunas negras","Pepperoni, mushrooms and black olives",None
METALW-037764-0004,Las setas no están disponibles,Mushrooms are not available,None
METALW-037764-0005,"Bien, sustitúyalos por pimientos","Well, replace them with peppers",None
METALW-037764-0006,Los pimientos tampoco están disponibles,Peppers are also not available,None
METALW-037764-0007,¿Y las gominolas?,What about the gummies?,None
METALW-037764-0008,No están disponibles,They are not available,None
METALW-037764-0009,"Bien, sólo pepperoni y aceitunas entonces","Well, just pepperoni and olives then",None
METALW-037764-0010,Muy bien lo hará,"All right, he'll do it.",None
METALW-037765-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037765-0001,Quiero pedir una pizza.,I want to order a pizza.,None
METALW-037765-0002,¿De qué tamaño pizza?,What size pizza?,None
METALW-037765-0003,Quiero pedir una pizza grande.,I want to order a big pizza.,None
METALW-037765-0004,¿Qué te gustaría en tu pizza?,What would you like on your pizza?,None
METALW-037765-0005,"Quiero salchichas, pimientos y cebollas.","I want sausages, peppers and onions.",None
METALW-037765-0006,Las cebollas actualmente no están disponibles.,Onions are currently not available.,None
METALW-037765-0007,"Ok, en lugar de cebollas puedo tomar champiñones.","Okay, instead of onions, I can have mushrooms.",None
METALW-037765-0008,"ciertamente. ¿Quieres pedir 1 salchicha grande, pepperoni, y pizza de champiñones correcta?","certainly. Do you want to order 1 large sausage, pepperoni, and correct mushroom pizza?",None
METALW-037765-0009,Eso es correcto.,That's right.,None
METALW-037765-0010,Su total es de $15.75 proceder a la caja.,Your total is $15.75 proceed to the box.,None
METALW-037766-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037766-0001,"Sí, me gustaría pizza con piña en ella","Yes, I'd like pizza with pineapple in it",None
METALW-037766-0002,Siento que nos quedemos sin piñas,I'm sorry we run out of pineapples.,None
METALW-037766-0003,¿Tienes algo de piña?,Do you have any pineapple?,None
METALW-037766-0004,Tenemos cocos.,We have coconuts.,None
METALW-037766-0005,Eso no es en absoluto piña como ¿Tienes anchoas?,That's not at all pineapple like do you have anchovies?,None
METALW-037766-0006,"Sí, tenemos anchoas","Yes, we have anchovies",None
METALW-037766-0007,¿Podría conseguir una pizza grande con anchoas dobles?,Could you get a big pizza with double anchovies?,None
METALW-037766-0008,Bien. Serán $10. ¿Estás recogiendo o quieres que se deleivered?,Not bad. It'll be $10. Are you picking up or do you want him to delight?,None
METALW-037766-0009,Lo recogeré.,I'll pick it up.,None
METALW-037766-0010,Bien. La pizza estará lista cuando llegues aquí,Not bad. The pizza will be ready when you get here,None
METALW-037766-0011,"¡Genial, gracias!","Great, thank you!",None
METALW-037767-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037767-0001,"Hola, quiero pedir una pizza gigante","Hi, I want to order a giant pizza",None
METALW-037767-0002,Qué ingredientes te gustaría en tu Pizza Gigante,What ingredients you'd like in your Giant Pizza,None
METALW-037767-0003,¿Tienes champiñones?,Do you have mushrooms?,None
METALW-037767-0004,Sí,Yes,None
METALW-037767-0005,"Bien, quiero champiñones en la pizza","Well, I want mushrooms on pizza.",None
METALW-037767-0006,¿Algo más?,Anything else?,None
METALW-037767-0007,¿Tienes pepperoni?,Do you have pepperoni?,None
METALW-037767-0008,Nos quedamos sin pepperoni ¿Qué tal salami,We were left without pepperoni How about salami,None
METALW-037767-0009,Está bien,It is ok,None
METALW-037767-0010,Más coberturas,More coverage,None
METALW-037767-0011,"No, gracias",No thanks,None
METALW-037768-0000,¿En qué puedo ayudarle hoy?,How can I help you today?,None
METALW-037768-0001,Quiero pedir una pizza 3 pizzas Primera pizza en como un súper supremo,I want to order a pizza 3 pizzas First pizza in like a super supreme,None
METALW-037768-0002,¡seguro! ¿Qué cobertura te gustaría?,sure! What coverage would you like?,None
METALW-037768-0003,Segunda pizza me gustaría jamón y piña y tocino,Second pizza I'd like ham and pineapple and bacon,None
METALW-037768-0004,Bien,Not bad,None
METALW-037768-0005,Tercera Pizza me gustaría espinacas y feta,Third Pizza I'd like spinach and feta,None
METALW-037768-0006,¡Entiendo! ¿Quieres un trago?,I understand! Would you like a drink?,None
METALW-037768-0007,Quiero que todas mis pizzas estén en corteza fina Y también quiero que todas sean de tamaño mediano,I want all my pizzas to be in thin crust And I also want them all to be medium-sized,None
METALW-037768-0008,Esto se nota,This is noticeable,None
METALW-037768-0009,¿Vendes cerveza?,Do you sell beer?,None
METALW-037768-0010,"Desafortunadamente no, no lo hacemos","Unfortunately not, we don't.",None
METALW-037769-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037769-0001,Necesito pedir una pizza,I need to order a pizza,None
METALW-037769-0002,"Claro, ¿qué te gustaría pedir?","Sure, what would you like to ask?",None
METALW-037769-0003,Necesito una pizza grande con pimientos de champiñones y cebollas,I need a big pizza with mushroom peppers and onions,None
METALW-037769-0004,"Desafortunadamente, nos quedan cebollas, ¿quieres algo más en su lugar?","Unfortunately, we have onions left, do you want anything else in place?",None
METALW-037769-0005,¿Qué tal anchoas?,How about anchovies?,None
METALW-037769-0006,"¡Sí, los tenemos!","Yes, we do!",None
METALW-037769-0007,¡Bien!,Not bad!,None
METALW-037769-0008,"Una pizza grande con anchoas, champiñones y pimientos. ¿Esto es un acarreo?","A large pizza with anchovies, mushrooms and peppers. Is this a haul?",None
METALW-037769-0009,Ywa,Ywa,None
METALW-037769-0010,¡Tu pizza debería estar lista en 15 minutos! ¡disfrutar!,Your pizza should be ready in 15 minutes! enjoy!,None
METALW-037769-0011,Sí,Yes,None
METALW-037770-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037770-0001,ayúdame a pedir 3 pizzas,help me order 3 pizzas,None
METALW-037770-0002,Bien,Not bad,None
METALW-037770-0003,todos grandes,all great,None
METALW-037770-0004,¿Qué te gustaría de ellos?,What would you like about them?,None
METALW-037770-0005,"poner pepperoni, queso y mostaza","put pepperoni, cheese and mustard",None
METALW-037770-0006,"Lo siento, pero el queso no está disponible actualmente","I'm sorry, but cheese isn't currently available",None
METALW-037770-0007,poner en cebollas verdes en su lugar,put on green onions instead,None
METALW-037770-0008,Bien,Not bad,None
METALW-037770-0009,enviarlo a mi casa,send it to my house,None
METALW-037770-0010,En su camino ahora,On your way now,None
METALW-037771-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037771-0001,Necesito pedir una pizza,I need to order a pizza,None
METALW-037771-0002,Bien. ¿De qué tamaño?,Not bad. What size?,None
METALW-037771-0003,Xl,Xl,None
METALW-037771-0004,Bien. Tengo una pizza XL. ¿Qué ingredientes quieres?,Not bad. I have an XL pizza. What ingredients do you want?,None
METALW-037771-0005,¿Tienes espárragos y cebolla?,Do you have asparagus and onions?,None
METALW-037771-0006,Siento que no tengan cebolla.,I'm sorry they don't have onions.,None
METALW-037771-0007,"Ok, sólo tiene que hacer el pedido de un XL sin *cebolla","Okay, just order an XL without *onion",None
METALW-037771-0008,Bien. ¿Quieres una pizza XL con espárragos solamente?,Not bad. Do you want an XL pizza with asparagus only?,None
METALW-037771-0009,sí,Yes,None
METALW-037771-0010,"Bien, hice tu pedido. Costará $5.99 y estará listo en 20 minutos","Well, I placed your order. It'll cost $5.99 and be ready in 20 minutes",None
METALW-037771-0011,¡gracias!,Thank you!,None
METALW-037772-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037772-0001,Me gustaría saber sobre tus coberturas de pizza.,I'd like to know about your pizza toppings.,None
METALW-037772-0002,¿Hay alguna cobertura en particular que estés buscando?,Is there any particular coverage you're looking for?,None
METALW-037772-0003,"Sí, ¿tienes salchichas?","Yes, do you have sausages?",None
METALW-037772-0004,No tenemos salchichas,We don't have sausages.,None
METALW-037772-0005,¿Qué hay de Pepperoni?,What about Pepperoni?,None
METALW-037772-0006,Esa cobertura tampoco está disponible,That coverage is also not available,None
METALW-037772-0007,¿Al menos tienes jamón?,Do you at least have ham?,None
METALW-037772-0008,Tenemos jamón,We have ham,None
METALW-037772-0009,"¡De acuerdo, te lo agradeceré!","All right, I'll thank you!",None
METALW-037772-0010,"Ok, estás listo.","Okay, you're ready.",None
METALW-037773-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037773-0001,Necesito pedir una pizza,I need to order a pizza,None
METALW-037773-0002,"Genial, puedo empezar una orden para ti. ¿Qué te gustaría?","Great, I can start an order for you. What would you like?",None
METALW-037773-0003,"Una pizza grande de pepperoni, oliva y champiñones","A large pizza of pepperoni, olive and mushrooms",None
METALW-037773-0004,"Desafortunadamente, las ""aceitunas"" de cobertura están actualmente sin existencias. ¿Desea modificar su artículo con un conjunto diferente de ingredientes?","Unfortunately, the cover ""olives"" are currently out of stock. Do you want to modify your item with a different set of ingredients?",None
METALW-037773-0005,¿Qué tal piña?,How about pineapple?,None
METALW-037773-0006,"Esa cobertura está disponible. Así que te gustaría una pizza grande con pepperoni, champiñones y piña, ¿correcto?","That coverage is available. So you'd like a big pizza with pepperoni, mushrooms and pineapple, right?",None
METALW-037773-0007,"Sí, por favor","Yes, please",None
METALW-037773-0008,"Genial, he añadido esto a tu orden. ¿Desea agregar otros artículos o desprote y desprote y desprotesiera?","Great, I've added this to your order. Do you want to add other items or check out and check out and check out?",None
METALW-037773-0009,caja,box,None
METALW-037773-0010,Completando tu pedido... ¡hecho! Debe estar listo para la recogida en aproximadamente 20 minutos.,Completing your order... done! You should be ready for pickup in approximately 20 minutes.,None
METALW-037773-0011,Bien. ¡gracias!,Not bad. Thank you!,None
METALW-037774-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037774-0001,Me gustaría pedir un poco de pizza,I'd like to order some pizza,None
METALW-037774-0002,Puedo ayudar con eso,I can help with that.,None
METALW-037774-0003,"Quiero una pizza grande con carne de res, tomates y aceitunas","I want a big pizza with beef, tomatoes and olives",None
METALW-037774-0004,Estamos sin aceitunas por desgracia,We're without olives unfortunately,None
METALW-037774-0005,¿Puedo tomar piñas en su lugar?,Can I have pineapples instead?,None
METALW-037774-0006,"Sí, tenemos eso","Yes, we have that.",None
METALW-037774-0007,"bien, voy a tener que entonces","well, I'm going to have to then",None
METALW-037774-0008,¿Esto es para recoger?,Is this for picking up?,None
METALW-037774-0009,No es para entrega,Not for delivery,None
METALW-037774-0010,Necesito un número de teléfono y una dirección por favor,I need a phone number and an address please,None
METALW-037775-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037775-0001,¿Puedes pedirme una pizza de Luigi's?,Can you order me a pizza from Luigi's?,None
METALW-037775-0002,¡Sí! ¿Qué te gustaría?,Yes! What would you like?,None
METALW-037775-0003,Una pizza grande con pepperoni,A big pizza with pepperoni,None
METALW-037775-0004,"Lo siento, pero esa cobertura no está disponible.","I'm sorry, but that coverage isn't available.",None
METALW-037775-0005,¿Se les acabaron los pepperoni?,Are you out of pepperoni?,None
METALW-037775-0006,Los trabajadores de la fábrica pepperoni se quedó en huelga.,The workers at the pepperoni factory went on strike.,None
METALW-037775-0007,Sólo dame una pizza de queso entonces,Just give me a cheese pizza then,None
METALW-037775-0008,Queso que es. Serán las 17.99,Cheese it is. It'll be 5:99 a.m.,None
METALW-037775-0009,Vale ponlo en mi PayPal,"Okay, put it in my PayPal",None
METALW-037775-0010,De acuerdo. Serán 35 minutos.,I agree. It'll be 35 minutes.,None
METALW-037775-0011,¡Gracias!,Thank you!,None
METALW-037776-0000,¿Cómo puedo ayudarle?,How can I help you?,None
METALW-037776-0001,¡hola! ¿Puedes ayudar con mi pedido de pizza?,Hello! Can you help with my pizza order?,None
METALW-037776-0002,Sí. ¿Qué es?,Yes. What is it?,None
METALW-037776-0003,¿Puedes pedirme una pizza Pepperoni?,Can you order me a Pepperoni pizza?,None
METALW-037776-0004,"lo siento, pero pepperoni no está disponible","I'm sorry, but pepperoni is not available",None
METALW-037776-0005,¿Qué tal champiñones?,How about mushrooms?,None
METALW-037776-0006,sigue sin estar disponible,still unavailable,None
METALW-037776-0007,Bien. ¿Qué tal pizza de cebolla?,Not bad. How about onion pizza?,None
METALW-037776-0008,"lo siento, pero eso tampoco está disponible","I'm sorry, but that's not available either.",None
METALW-037776-0009,Bien. Encontraré otro lugar de pizza entonces.,Not bad. I'll find another pizza spot then.,None
METALW-037776-0010,"Vale, gracias",Ok thank you,None
METALW-037777-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037777-0001,Necesito pedir tres pizzas,I need to order three pizzas,None
METALW-037777-0002,Puedo ayudarte con eso. ¿Qué tipo de pizza te gustaría?,I can help you with that. What kind of pizza would you like?,None
METALW-037777-0003,Un pepperoni un jamón un queso,A pepperoni a ham a cheese,None
METALW-037777-0004,Ham no está actualmente disponible como cobertura.,Ham is not currently available as coverage.,None
METALW-037777-0005,Tomaré tocino canadiense,I'll have Canadian bacon,None
METALW-037777-0006,"Está bien, déjame poner esa orden. ¿Quieres entrega o recogida?","All right, let me put that order in. Do you want delivery or pickup?",None
METALW-037777-0007,entrega,delivery,None
METALW-037777-0008,Su pedido ha sido realizado. Su número de confirmación es 123,Your order has been placed. Your confirmation number is 123,None
METALW-037777-0009,Gracias,Thank you,None
METALW-037777-0010,disfrutar,enjoy,None
METALW-037778-0000,hola. Soy un robot de pizza.,Hello. I'm a pizza robot.,None
METALW-037778-0001,Hola quiero pedir tres pizzas gigantes,Hello I want to order three giant pizzas,None
METALW-037778-0002,Estaré feliz de tomar su pedido. ¿Qué ingredientes te gustaría en tus tres pizzas gigantes?,I'll be happy to take your order. What ingredients would you like in your three giant pizzas?,None
METALW-037778-0003,"Quiero champiñones en uno, pepperoni en el segundo, y salchichas en el tercero","I want mushrooms in one, pepperoni in the second, and sausages in the third",None
METALW-037778-0004,Lo siento. Pero nos quedan champiñones.,I am sorry. But we've got mushrooms left.,None
METALW-037778-0005,¿Tienes pimientos?,Do you have peppers?,None
METALW-037778-0006,"Sí, tenemos pimientos.","Yes, we have peppers.",None
METALW-037778-0007,"Bien, entonces pon pimientos en el segundo por favor","Well, then put peppers in the second please",None
METALW-037778-0008,¿Le gustaría recoger su pedido o que se entregue?,Would you like to pick up your order or have it delivered?,None
METALW-037778-0009,Lo recogeré. ¿Cuánto cuesta el total?,I'll pick it up. How much does the total cost?,None
METALW-037778-0010,El total es de $59.75.,The total is $59.75.,None
METALW-037778-0011,Bien. Pagaré cuando llegue gracias.,Not bad. I'll pay when thanks come.,None
METALW-037778-0012,Gracias. Estará listo en 30 minutos.,Thank you. It'll be ready in 30 minutes.,None
METALW-037779-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037779-0001,Me gustaría pedir una pizza,I'd like to order a pizza,None
METALW-037779-0002,Claro. ¿Qué tamaño te gustaría?,Of course. How size would you like?,None
METALW-037779-0003,Me gustaría tres pizzas XL,I'd like three XL pizzas,None
METALW-037779-0004,¿Qué ingredientes te gustaría de ellos?,What ingredients would you like from them?,None
METALW-037779-0005,En la primera pizza me gustaría pepperoni,On the first pizza I'd like pepperoni,None
METALW-037779-0006,¿El segundo?,The second one?,None
METALW-037779-0007,salchichas y setas,sausages and mushrooms,None
METALW-037779-0008,Entiendo. ¿Y el tercero?,I understand. What about the third one?,None
